source_text,pivot_text_en,backtranslated_text,accepted
peudes cuk,peudes cuk,peudes cuk,False
masukan kak sambele kurang hot,"fontcolor="" # FFFF00""put Sambele sisnothot",Taruh sis Sambele tidak panas,False
pelayanan kurang ramah!!!,Unfriendly service!!!,Pelayanan yang tidak bersahabat!!,False
kurang sesuai ekspektasi karena entah mengapa ayamnya benyek banget terlalu asin padahal sudah mendambakan mie ayam lezat dilihat dari banyak reviewnya disini just call it a day,It's not appropriate for expectations because somehow the chicken is so salty it's been craving delicious chicken noodles from a lot of review here just call it a day,Ini tidak sesuai untuk harapan karena entah bagaimana ayam begitu asin itu telah menginginkan mie ayam lezat dari banyak review di sini hanya menyebutnya sehari,False
kurang terasa makannannya,I don't feel much food.,Aku tidak merasakan banyak makanan.,False
karyawane tidak ramah blas,Unfriendly employee blas,Tidak ramah omong kosong karyawan,False
maaf bp ibu sata suka tekstur mie di sini cm sayang rasanya agak hambar,"I'm sorry. I love the texture of noodles here, baby. It's kind of tasteless.","Maaf, aku suka tekstur mie di sini, sayang.",False
lezat harga terjangkau twpi di tempat yang baru aturan pesennya merepotkan pembeli,It's delicious. The price of affordable twpi in a new place. The terms of the pesen trouble the buyer.,"Ini lezat, harga yang terjangkau di tempat baru.",False
lambat sue lelet jane y lezat kariawane kakehan ngobrol,slow Sue lelet jane y delicious curryakie kachahan talking,lambat Sue lelet jane y lezat kariakie kachahan berbicara,False
benahi manajemen pesanan masuk dan selesai ya! karyawan jika diberitahu pesanan kurang jangan ngotot di sini kami makan juga bayar!,The management order is in and out yes! employees if told order less don't insist here we eat also pay!,Perintah manajemen adalah masuk dan keluar ya! karyawan jika perintah mengatakan kurang jangan memaksa di sini kita makan juga membayar!,False
beli mie ayam tapi lupa tidak dikasih ayam gimana tuh kecewa,Buy chicken noodles but forget not to give chicken how disappointed,Beli mie ayam tapi lupa untuk tidak memberikan ayam bagaimana kecewa,False
pelayanannya lama kuahnya tidak ada rasanya baksonya kebanyakan campuran tepung teksur mienya terlalu nyemek,His old service had no taste for meatballs. Most of the flour mixed with the noodle texture is too much.,"Makanan lamanya tidak enak bakso, kebanyakan tepung dicampur dengan tekstur mie terlalu banyak.",False
bukan favorit mungkin beda selera,Not a favorite. Maybe different taste.,"Bukan favorit, mungkin selera yang berbeda.",False
tipe mienya yang kecil kecil,The little noodle type.,Jenis mie kecil.,False
mayan la,mayan la,Maya la,False
pesen mie ayam mienya kurang matang untuk bbrp orang bawang goreng di mie ayam merusak cita rasa,chicken noodle pie. The noodles are not ripe for some fried onion people in chicken noodles.,Mie mie ayam tidak matang untuk beberapa orang bawang goreng dalam mie ayam.,False
tempat panas sambal kurang cocok di perut mungkin campuran cabai bubuk,The hot chili place doesn't fit in the stomach. Maybe the chili powder mix.,Tempat cabai panas tidak cocok di perut.,False
enaak cuma tidak suka sama tekstur mienya,Just don't like the texture of the noodles.,Hanya tidak suka tekstur mie.,False
harga lebih mahal daripada di malang karena lokasinya di dalam mall untuk varian tidak selengkap di cakman pusat,Prices are more expensive than in poor because it's in the mall for a variant not as complete as it is in the central cakman.,Harga lebih mahal daripada pada miskin karena itu di mal untuk varian tidak lengkap seperti yang ada di cakman pusat.,False
terlalu nice dan terlalu mendominasi,too nice and too domineering,terlalu bagus dan terlalu mendominasi,False
sejak pindah perasaan rasanya berubah,"Since moving on, it's been a change of heart.","Sejak pindah, sudah berubah pikiran.",False
rasanya seperti anda menjadi ironman,It feels like you're becoming Ironman.,Rasanya seperti kau menjadi Ironman.,False
pelayanan cenderung lambat dlm melayani sekitar 5 org sampe 15 menit,Service tends to be slow in serving between five and 15 minutes.,Dinas cenderung lambat dalam melayani antara lima dan 15 menit.,False
saya sedang melihat ke dia malah dipelototin yang melayani juga jutek berbicaranya tidak ramah ekspresinya datar mungkin mereka sedang bad mood tapi sebaiknya agar terlihat profesional mereka memberikan kesan ramah kepada pelanggan,"I'm looking at her. Instead of staring at her, she's not very friendly. Her speech is flat.","aku menatapnya bukannya menatapnya, dia tidak begitu ramah pidatonya datar",False
mie nya lezat tapi jadi trauma makan disini helm ilang dicuri orang,"The noodles are delicious, but so traumatizing, eating here. The missing helmets are stolen by people.","Mienya enak, tapi sangat membuat trauma, makan disini helm yang hilang dicuri oleh orang-orang.",False
pelayane njeleih sing jenggoten ora senyum ora apa,"""What's the smile?""","""Apa senyumnya?""",False
lezat tapi pelayanan nya lambat,delicious but his service is slow,lezat tapi pelayanannya lambat,False
pelayanan sangat tidak baik di complain malah ketawa ingat karma saya tidak ikhlas dunia akhirat,Service is not very good at complain It's laughing Remember karma I don't satisfy the afterlife,Layanan tidak terlalu baik pada mengeluh Ini tertawa karma Ingat saya tidak memuaskan akhirat,False
kurang bersih pengap,It's not clean stuffy,Hal ini tidak pengap bersih,False
biasa aja entah sudah biasa mie nya terlalu matang atau karena ditinggal bikin minuman,It's okay whether the noodles are overcooked or not.,Tidak apa-apa apakah mienya terlalu matang atau tidak.,False
niat buka puasa sudah kita tidak sahurr sejam belum di buatin resto macam apa ini,We haven't been able to break the fast in an hour. What kind of restoration is this?,Kami belum bisa menghentikan puasa dalam satu jam.,False
antrian panjang jd keburu laper,long queue as soon as later,long queue segera setelah,False
kecewa! mienya sedikit sayurnya malah yang banyak banget! mie ayam pelit!,I'm disappointed! The noodles are a bit vegetable even more! Chicken noodles are cheap!,Aku kecewa! mie sedikit sayuran bahkan lebih! mie ayam yang murah!,False
beli mie ayam 2 di bungkus yang satu gada mie nya ngawur,Buy two chicken noodles in one of those crazy noodles.,Beli dua mie ayam di salah satu mie gila itu.,False
mie ayam dan baksonya rasanya lezat tapi karyawannya bad bangettt! waktu itu saya pesen mie ayam yang harusnya total 50 jadi 66 pas saya balik lagi karyawannya kabur ke dalem alesannya keliru padahal sudah jelas pesenan saya untung bapaknya baik ngelayanin saya,Chicken noodles and meatballs are delicious but the employees are so bad! I used to have chicken noodles that were supposed to be 50 so 66 and I went back.,Mie ayam dan bakso yang lezat tapi karyawannya sangat buruk! aku dulu punya mie ayam yang seharusnya 50 jadi 66 dan aku kembali.,False
nais lejen,nais lege,nais lege,False
pelayanan lama mbak mbak nya agakjutek,The old service sister is a bit of a charm,Saudari layanan tua adalah sedikit pesona,False
tempatnya sangat panas,It's very hot.,Ini sangat panas.,False
enaaak makanannya cuma tempatnya memang seadanya aja sih yaaa,"fontcolor="" # FFFF00""the food'sonly whereit'ssimplyonlyyes",makanannya hanya di mana itu hanya ya,False
kenapa lagi makan enak2 harus ada kucing !!! sudah panggiil pelayan tapi tetep aja kucjngnya dtg2 trs sangat2 disayangkan saya keluar dengan emosi tanpa kenyang sama sekali,"fontcolor="" # FFFF00""whynoteatso good fontcolor00"" # 0000""theremustbecats!!! alreadycallingtheservantbutstill Iam comingupfortallyfortuneIcomeoutwithnoten at all",kenapa tidak makan enak ada yang harus menjadi kucing!!! sudah memanggil pelayan tapi aku masih belum lupa aku keluar sama sekali,False
cuma kurang tisu kang,It's just a little low on paper.,Ini hanya kertas kecil.,False
b aja mienya pelayanan lama banget nunggu makanan 1porsi set jam minuman 1porsi juga sejam tidak keluar akhirnya minta refund untuk yang punya banyak waktu monggo tapi nunggu selama itu untuk mie ayam tidak sepadan ya sorry,"fontcolor="" # FFFF00"" fontcolor00""# FFFF"" font color ="" # 00FF00""",{\cH00ffff}Aduh!,False
beli soto dibungkus cuma dapet nasi sama kuah nunggunya 20menit terburuk dari yang terburuk tidak kesini lagi deh,Buying soto wrapped only gets rice and waits for the worst 20 minutes of the worst not to come back,Membeli soto dibungkus hanya mendapat beras dan menunggu terburuk 20 menit dari yang terburuk tidak datang kembali,False
serba lama dan tidak dilayani dengan baik rasa juga kurang,"For a long time, and not for a good cause. A lack of taste also.","Untuk waktu yang lama, dan bukan untuk tujuan yang baik.",False
mie nya lezat tapi tolong dong untuk karyawan2nya dijaga sopan santun ke pembelinya kalau ada pembeli jangan diliatin apalagi diketawain,The noodles are delicious but please keep the employees polite to the buyer if there are any buyers don't look at them,Mienya enak tapi tolong jaga karyawannya sopan pada pembeli jika ada pembeli yang tidak melihatnya.,False
suasananya panas dan pengap bekas makan sebelumnya tidak langsung dibersihin padahal sudah ada pelanggan baru,The atmosphere is hot and stuffy. The last meal was not cleaned up right after a new customer.,Suasana panas dan pengap. makanan terakhir tidak dibersihkan tepat setelah pelanggan baru.,False
tukang parkirnya malah malak minta uang parkir lebih cukup sekali beli bakso disini,The parking lot doesn't even ask for parking money. It's enough to buy meatballs here.,Tempat parkir bahkan tidak meminta uang parkir.,False
untuk waktu tunggu yang cukup lama dan harga yang relatif mahal di purwokerto makanannya medioker pelayan tidak mempunyai kemampuan untuk menjelaskan produk jualannya dengan baik kepada customer saya bertanya tentang nasi goreng ayam spesial karena tidak ada gambarnya di buku menu ditanya nasi goreng ayam spesial bedanya sama yang tidak spesial apa jawabannya kalau spesial pake telur tidak dijelaskan spesifiknya seperti apa begitu datang makanannya tidak ada telurnya rupanya telurnya ada tapi dimasak sama nasi gorengnya pelayan tidak punya sop yang jelas tentang pelayanan mereka saya disuruh mengisi daftar menu saya sendiri saya pikir seperti pada restoran umumnya saya akan langsung bawa ke kasir dan membayarnya nyatanya tidak saya tidak ditagih apa apa dan malah ditanya mau bayar sekarang atau nanti maksud saya kalau bisa bayar nanti ngapain saya harus isi menu saya dan membawanya ke kasir sendiri? memangnya tidak ada pelayan yang kompatibel untuk melayani pelanggannya? sudah gitu pelayan gaada sopan dan ramahnya sama sekali lagi memberikan makanan dan minuman tanpa permisi tanpa senyuman pure hanya diam saja saat memberikan makanan dan minuman kelihatan sekali pelayannya tidak ditrain dengan baik asal bekerja saja tanpa mempertimbangkan product knowledge dan profesionalitasnya kalau tidak segera dirubah lebih baik restoran ini tutup saja,for a long time wait and a relatively expensive price in purwokerto his meal medioker the waiter doesn't have the ability to explain his product well to customer i asked about chicken fried rice special because there's no picture in the book,untuk waktu yang lama menunggu dan harga relatif mahal di purwokerto nya medioker nya pelayan tidak memiliki kemampuan untuk menjelaskan produknya baik untuk pelanggan saya bertanya tentang nasi ayam goreng khusus karena tidak ada gambar dalam buku,False
tempat kurang nyaman sama kebersihan kurang,Uncomfortable place is less hygiene.,Tempat yang tidak nyaman adalah kebersihan yang kurang.,False
enaaak cepatt,Hurry up,Cepat,False
mie baksonya nampol,The meatball noodles are pumpol,Mie bakso adalah pumpol,False
tidak rekomendasi harganya mahal engga sebanding sama rasanya,No. The recommendation is expensive. Not worth the taste.,"Rekomendasinya mahal, tak sebanding dengan seleranya.",False
saya beli bakmie nyemek spesial seharga rp 33 500 isinya jeroan banyaknya dagingnya dikit rasanya saya kurang cocok,I bought a special steak for Rp 33 500. It's got a lot of gas in it. I don't feel like I fit in.,Aku membeli steak spesial untuk Rp 33 500.,False
tempat kurang nyaman dan terbatas,It's uncomfortable and limited.,Ini tidak nyaman dan terbatas.,False
lelet haruse pesen bakmi di depan baru bayar di kasir ini pesen harus ke kasir dlu trus bayar baru pesenan kasir di kasih kedepan lagi kan tidak ada kejelasan kaya di permainkan,I'm going to have to pay the checker and pay the cashier a new checker in front of me. There's no rich clarity to play with.,Aku harus membayar kasirnya dan membayar kasir yang baru di depanku.,False
mie ayam viral di samping kantor pajak pratama rasa baik porsi sedikit ayam sedikit tidak ada meja untuk makan ya teman2 duduk aja smbil pegang mangkok banyak pelanggan yang pd makan di mobil,Chicken viral noodles next to the tax office. Tastes good. A little chicken serving.,mie ayam viral di samping kantor pajak rasanya enak sedikit porsi ayam,False
korban tiktok jauh dari majenang lezat,The ticktock victim was away from a delicious snack.,Korban ticktock jauh dari makanan ringan lezat.,False
tidak seperti dolo sambel terlalu encer yang masak gonta ganti rasanya gonta ganti juga,It's not like dolo sambel. Too diluted.,Ini tidak seperti dolo sambel.,False
mau ngasih bintang 9 ehh cuma bisa 5,Want to give a 9th star ehh only 5,Ingin memberikan bintang 9 ehh hanya 5,False
kurang ajar mie ayam mahal bangat pakai ceker 2700 jangan mau beli mie ayam sini,Damn expensive chicken noodle bangat with a nail feet 2700 don't want to buy chicken noodles here,Sialan mahal ayam bangat mie dengan kuku kaki 2700 tidak ingin membeli mie ayam di sini,False
hati hati untuk para pelanggan bakso cakman rita purwokerto cek kembali struk pembelian sebelum makan ada oknum pegawai yang nakal struk dilebihkan jumlahnya ambil mie kuning 1 diitungnya 2 item ambil urat jumbo 2 diitungnya 3 item ambil rambutan 1 diitungnya 2 item ambil panjang goreng 1 diitungnya 2 item makan berdua habis 80rb padahal hanya ambil 7 item mie kuning rambutan panjang goreng urat jumbo 2 tahu goreng teh botol dan air mineral totalnya sampai 82 000 awalnya sempat kaget makan berdua bisa habis sampai 82 000 padahal biasanya di cabang cak man lainnya 50 000 an dengan item yang sama tapi modal percaya dengan kasirnya sampe tidak cek lagi struknya ternyata setelah sampai rumah ternyata dicurangi kecewa banget sih sama oknum kasir bakso cakman rita purwokerto attitudenya rendah judes dan nakal,Watch out for the customers. The cash man rita purwokerto meatballs. Check back the receipts before meal.,Hati-hati dengan pelanggannya pria kas rita purwokerto bakso periksa kembali tanda terimanya sebelum makan,False
terkendala tmpat parkir saja tipe rasa seger bukan buket matep,"When parking is blocked, the seger flavor is not a bouquet matep","Ketika parkir diblokir, rasa seger bukan buket matep",False
barusan lewat pengin nyoba baksonya tapi kok tutup pak gimana pak pak,"I just tried the meatballs, but it's closed, sir.","Aku baru saja mencoba bakso, tapi sudah tutup, Pak.",False
saking penuhnya datang sampai bingung tpt duduknya dan maaf saran saja sih untuk owner toping ayam ati ceker kiplik agak dikasih rasa ya biar tidak anyeb smg mkin maju,"So full of them came to be confused, but sit down. And I'm sorry. Just a suggestion.","Begitu penuh mereka datang menjadi bingung, tapi duduk dan aku minta maaf.",False
kurang ramah,Unfriendly.,Tidak ramah.,False
lezat tapi panas banget kurang kipas angin jadi kurang nyaman makannya,"It's delicious, but it's so hot. Not enough fans to be comfortable eating it.","Ini lezat, tapi begitu panas, tidak cukup penggemar untuk nyaman memakannya.",False
enaak loh tapi porsinya kurang banyak,But it's not much of a portion.,Tapi itu tidak banyak porsi.,False
kebanyakan ayam jadi bukan mia ayam tapi ayam pake mie,Most chickens aren't chicken noodles but chicken with noodles,Kebanyakan ayam bukan mie ayam tapi ayam dengan mie,False
sangat tidak ramah driver ojek online,Very unfriendly online driver.,Sopir online yang sangat tidak ramah.,False
enk banget saya sampai pesan 2 porsi pdhl pengalaman pertama btw ini skrg masih buka kan? bbrp hari oewat kok tutup ada no hp owner nya tidak ya,"fontcolor="" # FFFF00""soItoldthetrussage fontcolor00"" # 1 FFFF=""bynowit'sopen?",jadi sudah kubilang kerusirannya sekarang terbuka?,False
